time, vx, vy
403, 2.16492e-13, 1.68099e-13
404, 2.17279e-13, 1.68561e-13
405, 2.18066e-13, 1.69023e-13
406, 2.18854e-13, 1.69485e-13
407, 2.19643e-13, 1.69948e-13
408, 2.20432e-13, 1.70412e-13
409, 2.21222e-13, 1.70876e-13
410, 2.22013e-13, 1.7134e-13
411, 2.22804e-13, 1.71805e-13
412, 2.23596e-13, 1.7227e-13
413, 2.24388e-13, 1.72736e-13
414, 2.25181e-13, 1.73202e-13
415, 2.25975e-13, 1.73668e-13
416, 2.2677e-13, 1.74135e-13
417, 2.27565e-13, 1.74603e-13
418, 2.28361e-13, 1.75071e-13
419, 2.29157e-13, 1.75539e-13
420, 2.29954e-13, 1.76008e-13
421, 2.30752e-13, 1.76477e-13
422, 2.31551e-13, 1.76947e-13
423, 2.3235e-13, 1.77418e-13
424, 2.3315e-13, 1.77888e-13
425, 2.33951e-13, 1.7836e-13
426, 2.34752e-13, 1.78832e-13
427, 2.35554e-13, 1.79304e-13
428, 2.36357e-13, 1.79777e-13
429, 2.3716e-13, 1.8025e-13
430, 2.37964e-13, 1.80724e-13
431, 2.38769e-13, 1.81198e-13
432, 2.39574e-13, 1.81672e-13
433, 2.40381e-13, 1.82148e-13
434, 2.41188e-13, 1.82623e-13
435, 2.41995e-13, 1.831e-13
436, 2.42804e-13, 1.83576e-13
437, 2.43613e-13, 1.84054e-13
438, 2.44423e-13, 1.84531e-13
439, 2.45233e-13, 1.8501e-13
440, 2.46045e-13, 1.85488e-13
441, 2.46857e-13, 1.85968e-13
442, 2.4767e-13, 1.86448e-13
443, 2.48483e-13, 1.86928e-13
444, 2.49298e-13, 1.87409e-13
445, 2.50113e-13, 1.8789e-13
446, 2.50929e-13, 1.88372e-13
447, 2.51745e-13, 1.88855e-13
448, 2.52563e-13, 1.89338e-13
449, 2.53381e-13, 1.89821e-13
450, 2.542e-13, 1.90305e-13
451, 2.55019e-13, 1.9079e-13
452, 2.5584e-13, 1.91275e-13
453, 2.56661e-13, 1.91761e-13
454, 2.57483e-13, 1.92247e-13
455, 2.58306e-13, 1.92734e-13
456, 2.5913e-13, 1.93221e-13
457, 2.59954e-13, 1.93709e-13
458, 2.60779e-13, 1.94198e-13
459, 2.61605e-13, 1.94687e-13
460, 2.62432e-13, 1.95176e-13
461, 2.6326e-13, 1.95666e-13
462, 2.64088e-13, 1.96157e-13
463, 2.64917e-13, 1.96649e-13
464, 2.65747e-13, 1.97141e-13
465, 2.66578e-13, 1.97633e-13
466, 2.6741e-13, 1.98126e-13
467, 2.68243e-13, 1.9862e-13
468, 2.69076e-13, 1.99114e-13
469, 2.6991e-13, 1.99609e-13
470, 2.70745e-13, 2.00104e-13
471, 2.71581e-13, 2.006e-13
472, 2.72418e-13, 2.01097e-13
473, 2.73256e-13, 2.01594e-13
474, 2.74094e-13, 2.02092e-13
475, 2.74934e-13, 2.02591e-13
476, 2.75774e-13, 2.0309e-13
477, 2.76615e-13, 2.03589e-13
478, 2.77457e-13, 2.0409e-13
479, 2.783e-13, 2.0459e-13
480, 2.79143e-13, 2.05092e-13
