time, vx, vy
267, -4.18236e-16, 7.41034e-16
268, -4.1823e-16, 7.41036e-16
269, -4.18225e-16, 7.41037e-16
270, -4.18219e-16, 7.41038e-16
271, -4.18214e-16, 7.41039e-16
272, -4.18209e-16, 7.4104e-16
273, -4.18203e-16, 7.41042e-16
274, -4.18197e-16, 7.41043e-16
275, -4.18191e-16, 7.41044e-16
276, -4.18184e-16, 7.41045e-16
277, -4.18177e-16, 7.41046e-16
278, -4.18169e-16, 7.41048e-16
279, -4.1816e-16, 7.41049e-16
280, -4.18151e-16, 7.41051e-16
281, -4.1814e-16, 7.41052e-16
282, -4.18128e-16, 7.41054e-16
283, -4.18114e-16, 7.41057e-16
284, -4.18098e-16, 7.41059e-16
285, -4.18078e-16, 7.41063e-16
286, -4.18053e-16, 7.41068e-16
287, -4.18022e-16, 7.41075e-16
288, -4.17979e-16, 7.41085e-16
289, -4.17914e-16, 7.41103e-16
290, -4.17802e-16, 7.41137e-16
291, -4.17532e-16, 7.41229e-16
292, -4.14274e-16, 7.42418e-16
293, -4.14335e-16, 7.42379e-16
294, -4.14369e-16, 7.42344e-16
295, -4.14406e-16, 7.423e-16
296, -4.14457e-16, 7.42235e-16
297, -4.14545e-16, 7.42119e-16
298, -4.14777e-16, 7.41807e-16
299, -4.35569e-16, 7.11683e-16
300, -4.35567e-16, 7.11688e-16
301, -4.35565e-16, 7.11694e-16
302, -4.35563e-16, 7.11699e-16
303, -4.3556e-16, 7.11705e-16
304, -4.35558e-16, 7.11711e-16
305, -4.35555e-16, 7.11718e-16
306, -4.35551e-16, 7.11725e-16
307, -4.35548e-16, 7.11733e-16
308, -4.35544e-16, 7.11742e-16
309, -4.3554e-16, 7.11751e-16
310, -4.35535e-16, 7.11761e-16
311, -4.35529e-16, 7.11773e-16
312, -4.35522e-16, 7.11787e-16
313, -4.35514e-16, 7.11803e-16
314, -4.35504e-16, 7.11822e-16
315, -4.35491e-16, 7.11846e-16
316, -4.35473e-16, 7.11877e-16
317, -4.35448e-16, 7.1192e-16
318, -4.35406e-16, 7.11987e-16
319, -4.35326e-16, 7.1211e-16
320, -4.35069e-16, 7.12484e-16
321, -4.9372e-16, 6.17967e-16
322, -4.93744e-16, 6.17949e-16
323, -4.93777e-16, 6.17924e-16
324, -4.93823e-16, 6.17887e-16
325, -4.93896e-16, 6.17829e-16
326, -4.94038e-16, 6.17715e-16
327, -4.94556e-16, 6.17292e-16
328, -4.92508e-16, 6.18928e-16
329, -4.96263e-16, 6.16137e-16
330, -4.96198e-16, 6.16186e-16
331, -4.96179e-16, 6.16203e-16
332, -4.96166e-16, 6.16214e-16
333, -4.96156e-16, 6.16223e-16
334, -4.96146e-16, 6.16233e-16
335, -4.96137e-16, 6.16242e-16
336, -4.96126e-16, 6.16252e-16
337, -4.96116e-16, 6.16263e-16
338, -4.96104e-16, 6.16274e-16
339, -4.96091e-16, 6.16287e-16
340, -4.96076e-16, 6.16301e-16
341, -4.9606e-16, 6.16317e-16
342, -4.9604e-16, 6.16336e-16
343, -4.96016e-16, 6.16359e-16
344, -4.95986e-16, 6.16387e-16
345, -4.95947e-16, 6.16424e-16
346, -4.95892e-16, 6.16476e-16
347, -4.95801e-16, 6.16561e-16
348, -4.95601e-16, 6.16746e-16
